UF;zona;address;postal-code
GO;19;AV. DR NEILOR ROLIM, QD. MOS, LT. 01, LUZIANIA, GO, ## 72815560
GO;20;AV. GOIAS, ESQ. COM RUA 04 E RUA 20, S/N, PALMEIRAS DE GOIAS, GO, ## 76190000
GO;22;AV. PROF. ZILDA DINIZ FONTES N 755 COM RUA 18, MORRINHOS, GO, ## 75650000
GO;25;AV BOULEVARD DOS EUCALIPTOS, AREA PUBLICA MUNICIPAL 2A, QD 2, PIRACANJUBA, GO, ## 75640000
GO;26;RUA DIREITA N 28 EDIFICIO DO FORUM JOSE JOAQUIM DE SA, PIRENOPOLIS, GO, ## 72980000
GO;29;AVENIDA JK., QUADRA 20, LOTE 03 AO LADO DO FORUM, POSSE, GO, ## 73900000
GO;33;RUA 60, AREA ESPECIAL N.6, PRAIA DOS AMORES, VALPARAISO DE GOIAS, GO, ## 72871060
GO;34;AVENIDA TOCANTINS, N. 1101, SALAS 103 E 104, SHOPPING PIGALLE, ANICUNS, GO, ## 76170000
GO;36;RUA GETULIO VARGAS, QD-A, LT-4, CENTRO - PROX. COL.EST.CASTELO BRANCO, CRISTALINA, GO, ## 73850000
GO;39;R. SEN. EMIVAL RAMOS CAIADO, S/N, FORUM DE ITAPACI, ITAPACI, GO, ## 76360000
GO;41;AVENIDA BRASIL, ESQUINA COM A RUA A, AREA 3, NIQUELANDIA, GO, ## 76420000
GO;44;QA 04 MC/MR 9/11-2 PISO SLJ 203  - PREMIER SHOPPNG, PLANALTINA, GO, ## 73752104
GO;47;RUA 05 ESQ COM AV. BAHIA S/N, SAO DOMINGOS, GO, ## 73860000
GO;50;RUA ITALIA ESQUINA COM RUA CALIFORNIA QD. 05  LT.02, URUACU, GO, ## 76400000
GO;51;RUA JAIR SILVA GUIMARAES ESQ. C/ JOAQUIM RODR. ALVES, QD. 3, LT. 1/10, SANTA CRUZ DE GOIAS, GO, ## 75220000
GO;52;RUA SERAFIM AGAPITO, 200 - ED DO FORUM, CUMARI, GO, ## 75760000
GO;54;RUA D. PEDRO I, ESQUINA C/ JOSE BONIFACIO, NEROPOLIS, GO, ## 75460000
GO;56;PRACA JOAO RASSI, 87, CONJ CIDADE NOVA - ED DO FORUM, GUAPO, GO, ## 75350000
GO;57;RUA FRANCISCO TEIXEIRA BARBOSA, QD. 14, LT. 01, ITAUCU, GO, ## 75450000
GO;59;PRACA DA MATRIZ 316 - ED. DO FORUM, AURILANDIA, GO, ## 76120000
GO;60;RUA 3 N. 05, SETOR VISTA ALEGRE, URUTAI, GO, ## 75790000
GO;61;RUA GONCALVES, N. 148, ED. DO FORUM, VIANOPOLIS, GO, ## 75265000
GO;62;AV. AIRTON GONZAGA MIRANDA, QD. AP.-6, LT. 01 - ED. FORUM, HIDROLANDIA, GO, ## 75340000
GO;63;RUA 2, N. 40 (SETOR DA JUSTICA), FIRMINOPOLIS, GO, ## 76105000
GO;64;PRACA MANOEL FERNANDES TEIXEIRA N 44, NAZARIO, GO, ## 76180000
GO;65;AV TENYSSON JUBE DE OLIVEIRA QD 03 LT 01, EDF. FORUM, PETROLINA DE GOIAS, GO, ## 75480000
GO;76;AV. ARAPUA ESQ AV MANDAGUARI - QD 33 TL 16/18. FORUM DE RUBIATABA, RUBIATABA, GO, ## 76350000
GO;77;RUA 45 ESQ. C. RUA 56 E RUA 04 ED. DO FORUM, ITAPURANGA, GO, ## 76680000
GO;79;AVENIDA BRASILIA, QD. 61, EDIFICIO DO FORUM, FAZENDA NOVA, GO, ## 76220000
GO;82;ROD. GO 164, KM 2, SETOR ADOLFO BEZERRA DE MENEZES, MOSSAMEDES, GO, ## 76150000
GO;83;RUA ALCIENE SOARES, QD 33, S/N - ED. DO FORUM, PARANAIGUARA, GO, ## 75880000
GO;85;AV DAS OLIVEIRAS QD 23 ESQ C/ RUA 2.019, CRIXAS, GO, ## 76510000
GO;86;RODOVIA GO 154, KM 155, PERIMETRO URBANO, ITAGUARU, GO, ## 76660000
GO;87;RUA BRIGADEIRO EDUARDO GOMES, ESQUINA COM RUA 124, AREA ESPECIAL, ALEXANIA, GO, ## 72930000
GO;88;RODOVIA GO-239 ESQ.C/ AV.JESUS DE NAZARE, EDIFICIO DO FORUM, MARA ROSA, GO, ## 76490000
GO;91;RUA ALVINO MARQUES, QD. 14, LT. 01, S/N, EDIFICIO DO FORUM, CENTRO, PANAMA, GO, ## 75580000
GO;93;RUA ADEMAR LUIZ DE MIRANDA, Q 32, L01, EDIFICIO DO FORUM., JOVIANIA, GO, ## 75610000
GO;95;RUA REBOUCAS N 685  EDIFICIO DO FORUM, JUSSARA, GO, ## 76270000
GO;96;RUA JOAO VIEIRA MACHADO, N 535, ESQ. RUA GILDA SEVERINO BARBOSA, ITAJA, GO, ## 75815000
GO;98;RUA 11 C/ RUA 6, QD.APM3, LT.AREA1, VARJAO, GO, ## 75355000
GO;99;PRACA DIOGO TELLES CAVALCANTE N 198 EDIFICIO DO FORUM, CAVALCANTE, GO, ## 73790000
GO;100;ALAMEDA LIRIO DO CAMPO, QD 13, LT 01, CARMO DO RIO VERDE, GO, ## 76340000
GO;101;RUA ITAJA, QD 07 - PREDIO DO FORUM, GOIANIRA, GO, ## 75370000
GO;102;AV. LAZARO TEODORO, N 849 - ED. FORUM, PIRANHAS, GO, ## 76230000
GO;103;RODOVIA GO-222, QD. 01, LT. 05, FORUM, SETOR SOL NASCENTE, ARACU, GO, ## 75410000
GO;105;RUA DAS LARANJEIRAS, QUADRA 15-C, LOTE 14, SETOR AEROPORTO, CAMPOS BELOS, GO, ## 73840000
GO;106;AVENIDA JOSE JUNQUEIRA DE ALMEIDA 714, CACU, GO, ## 75813000
GO;109;RUA 20, QD. 78, LT. 04 A 11, ITAPIRAPUA, GO, ## 76290000
GO;112;RUA 46, QD. 10, N. 125, EDIFICIO DO FORUM, RIALMA, GO, ## 76310000
GO;113;AVENIDA 05 DE JANEIRO, ESQ. COM AV. X,  QD. M, LTS 07/15., SANCLERLANDIA, GO, ## 76160000
GO;114;RUA FAUSTINO LINO DE ARAUJO, 721 - ED. DO FORUM, TAQUARAL DE GOIAS, GO, ## 76640000
GO;118;RUA SAO JOAO, QD. 10B, ED. DO FORUM, ESTRELA DO NORTE, GO, ## 76485000
GO;120;RODOVIA GO-060, ESQ. COM AVENIDA RIO CLARO, Q. 13, L. 1-5, ISRAELANDIA, GO, ## 76205000
GO;121;AV. RIO CLARO,  N. 92,  EDIFICIO DO FORUM, IVOLANDIA, GO, ## 76130000
GO;125;RUA MARECHAL HUMBERTO CASTELO BRANCO, S/N  (PREDIO DO FORUM), FORMOSO, GO, ## 76470000
GO;127;AV. T-7, ESQ. COM AV. MUTIRAO, N. 371, 4 ANDAR - SALA 404, GOIANIA, GO, ## 74140110
GO;128;RUA JOAO LEMOS SOBRINHO, 31- ED. FORUM, ACREUNA, GO, ## 75960000
GO;135;AV. T-7, C/ MUTIRAO, NR 371, QD.R-34, LT.1, 4 ANDAR, LOURENCO OFFICE, GOIANIA, GO, ## 74140110
GO;136;AV. T-7 ESQ. C/ AV. MUTIRAO, N.371, SALA 408, ED. LOURENCO OFFICE, GOIANIA, GO, ## 74140110
GO;138;AV. PAPA JOAO PAULO II, N. 300, ITUMBIARA, GO, ## 75528370
GO;139;AV. DR. NEILOR ROLIN, QD. MOS, LT. 01, LUZIANIA, GO, ## 72815560
GO;142;AVENIDA DO NIQUEL, AREA INSTITUCIONAL 06, EDIFICIO DO FORUM, BARRO ALTO, GO, ## 76390000
MA;8;FORUM DES. CAETANO MARTINS JORGE - RUA DA SALVACAO, S/N, COROATA, MA, ## 65415000
MA;9;RUA DAS LARANJEIRAS, N 1477, GOIABAL, PEDREIRAS, MA, ## 65725000
MA;11;TRAVESSA VEREADOR CARLOS LUSTOSA, NR 330, ALTO PARNAIBA, MA, ## 65810000
MA;15;FORUM ELEITORAL JUIZ ANTONIO EDUARDO OLIVEIRA NAVA RODOVIA BR 226, S/N, GRAJAU, MA, ## 65940000
MA;23;RUA MISSIONARIO PERRIM SMITH S/N, BARRA DO CORDA, MA, ## 65950000
MA;26;FORUM  DE CAROLINA - AV. ELIAS BARROS, S/N, CAROLINA, MA, ## 65980000
MA;29;AV.BURITI BRAVO, KM02, MA 132, S/N., COLINAS, MA, ## 65690000
MA;30;AV. JOSE BRUNO DE BARROS N . 1268, GUIMARAES, MA, ## 65255000
MA;31;FORUM JUIZ SAI LUIZ CHUNG- RUA BARAO DO RIO BRANCO, S/N, ICATU, MA, ## 65170000
MA;33;LOTEAMENTO JUSCELINO KUBITSCHEK, QUADRA 17-A, SN, IMPERATRIZ, MA, ## 65913420
MA;37;FORUM DES. SARNEY DE ARAUJO COSTA - PRACA JOSE SARNEY N 307, PINHEIRO, MA, ## 65200000
MA;38;FORUM DR. JOAQUIM SILVESTRE TRINTA -  RUA FRANCISO XAVIER, SN, SAO BENTO, MA, ## 65235000
MA;39;AVENIDA SANTOS DUMONT SN - FORUM, TURIACU, MA, ## 65278000
MA;41;RUA TEODORO FERREIRA, S/N, FORUM DES. CARLOS CESAR DE BERREDO MARTINS, VITORIA DO MEARIM, MA, ## 65350000
MA;42;FORUM ELEITORAL DA 42 ZONA  - RUA JUSCELINO KUBITSCHEK - S/N, CHAPADINHA, MA, ## 65500000
