id;uf;nome;populacao2010;pib2010;pibPerCapita2010;populacao2012;pib2012;pibPerCapita2012;populacao2014;pib2014;pibPerCapita2014;gini2000;gini2010
1500206;PA;Acará;53605;440767.452;8222.51;53787;506916.139;9424.51;54047;578093.947;10696.13;0.5018;0.5355
1303601;AM;Santa Isabel do Rio Negro;18133;65376.313;3605.38;19292;86264.62;4471.52;21702;123222.349;5677.93;0.681;0.7279
4301875;RS;Barra do Quaraí;4016;113516.105;28265.96;4032;104423.393;25898.66;4189;157780.86;37665.52;0.6058;0.5044
3302452;RJ;Macuco;5269;94083.684;17856.08;5327;102989.979;19333.58;5380;126486.04;23510.42;0.5434;0.5203
1713205;TO;Miracema do Tocantins;20692;411917.043;19907.07;20117;489446.809;24330.01;19934;393507.424;19740.51;0.5593;0.557
2704906;AL;Mar Vermelho;3652;16898.279;4627.13;3588;21662.618;6037.52;3674;25422.44;6919.55;0.5834;0.4801
3138625;MG;Limeira do Oeste;6890;137009.83;19885.32;6999;172901.326;24703.72;7327;208725.319;28487.15;0.5568;0.4704
5006408;MS;Pedro Gomes;7967;119151.154;14955.59;7882;157221.221;19946.87;7850;174149.6;22184.66;0.5657;0.4883
3171402;MG;Vieiras;3732;26450.883;7087.59;3698;32550.876;8802.29;3777;40377.296;10690.31;0.5173;0.4314
5219407;GO;Santa Rita do Araguaia;6928;68616.444;9904.22;7202;112401.087;15606.93;7759;129009.757;16627.11;0.5973;0.4912
4203600;SC;Campos Novos;32829;1307033.199;39813.37;33313;1545229.903;46385.19;34721;1652376.856;47590.13;0.5976;0.4593
4105300;PR;Céu Azul;11032;268220.91;24312.99;11121;326351.46;29345.51;11589;490395.222;42315.58;0.5611;0.4721
4301909;RS;Barra do Ribeiro;12568;167617.525;13336.85;12682;199915.515;15763.72;13208;262118.708;19845.45;0.5614;0.5071
4220000;SC;Balneário Rincão;;;;;;;11824;164195.865;13886.66;;
3138658;MG;Lontra;8401;29545.235;3516.87;8506;38534.281;4530.25;8881;50561.043;5693.17;0.549;0.5135
4301925;RS;Barra do Rio Azul;2003;27048.717;13504.1;1941;27785.123;14314.85;1972;42677.551;21641.76;0.5742;0.4149
3302502;RJ;Magé;228150;2372394.968;10398.4;230568;2822808.667;12242.85;233634;3291378.255;14087.75;0.5206;0.5082
4121703;PR;Reserva;25177;291845.217;11591.74;25353;403983.877;15934.36;26397;442492.82;16763;0.6084;0.5091
3204203;ES;Piúma;18123;264652.968;14603.15;18597;473091.215;25439.11;20395;676614.271;33175.5;0.586;0.5089
3105905;MG;Barroso;19623;264633.293;13485.87;19787;338094.907;17086.72;20590;365861.379;17768.89;0.5546;0.4946
3138674;MG;Luisburgo;6236;47008.702;7538.28;6225;57945.544;9308.52;6407;65377.227;10204.03;0.6047;0.52
3515509;SP;Fernandópolis;64707;1069480.749;16528.05;65157;1369314.293;21015.61;67836;1686206.183;24857.1;0.5469;0.4941
3138682;MG;Luislândia;6405;29249.047;4566.6;6443;34624.777;5374.01;6685;41376.132;6189.4;0.4376;0.5867
2909307;BA;Correntina;31259;571612.605;18286.34;31397;848516.828;27025.41;33084;1234251.667;37306.6;0.62;0.5885
2401404;RN;Baía Formosa;8569;77340.103;9025.57;8687;106969.642;12313.76;9116;135738.785;14890.17;0.5785;0.4837
3531902;SP;Morro Agudo;29127;741486.477;25457.02;29673;916567.052;30888.92;31310;994858.653;31774.47;0.553;0.462
5219456;GO;Santa Rita do Novo Destino;3170;35288.596;11132.05;3196;47856.592;14973.9;3316;51633.886;15571.14;0.4305;0.4478
2303105;CE;Cariré;18348;68505.612;3733.68;18391;78563.372;4271.84;18637;99381.568;5332.49;0.5977;0.542
3122306;MG;Divinópolis;213076;3417488.595;16038.82;217404;4399237.304;20235.31;228643;5335937.727;23337.42;0.5333;0.4797
2516102;PB;Soledade;13739;90156.551;6562.09;13993;111821.53;7991.25;14569;143123.669;9823.85;0.5807;0.5216
2204808;PI;Ipiranga do Piauí;9326;34505.167;3699.89;9463;43344.34;4580.4;9569;57198.128;5977.44;0.5193;0.4809
2106508;MA;Matinha;21832;69501.984;3183.49;22286;92109.744;4133.08;22673;122606.439;5407.6;0.5261;0.6046
2925709;BA;Presidente Jânio Quadros;13657;42656.973;3123.45;12854;49754.196;3870.72;13307;64965.984;4882.09;0.522;0.5548
3548302;SP;Santo Expedito;2806;21142.087;7534.6;2845;23506.158;8262.27;2988;28652.083;9589.05;0.5275;0.4174
5105176;MT;Juruena;11269;99337.525;8815.11;12125;134139.628;11063.06;13424;147891.534;11016.95;0.4954;0.4482
1303700;AM;Santo Antônio do Içá;24487;83501.322;3410.03;24890;107787.238;4330.54;24005;142865.758;5951.5;0.6545;0.6738
